Kalamang_Sentence,English_Translation
Sontum me mahap tamanggara bot?,"All those people, where are they going?"
Sontum yu me warten.,That person is a sorcerer.
Tol emun me sontum kabas.,Tol's mother is a stranger.
Mama Agus mu marua sopsop parin.,Mama Agus and family sell hair pins.
In sor saerak.,We don't have fish.
Sor kangunara Mustafa esun komaruk.,Fishbones is what Mustafa's father is burning.
Tami emun sor sira paruo reba.,Tami's mother is making salted fish.
Irul emun mu Sorungga bot.,Irul's mother and family went to Sorong.
An tok koranat meja keirunggo sosoet.,I stretch out my feet on the table.
Dian esun mu bo pawan masousou reba.,Dian's father and friends go sliding down planks.
Randa emun mu me souk reidak.,Randa's mother's family have a lot of mice.
Halim se sowilunat ma sarua.,Halim already shaved off his sideburns.
Irjan esun ma suagiat ramie reidak.,Irjan's father caught a lot of tuna.
Nyong emun mu panggala kirte minggi suamin paruotkin deba.,Nyong's mother and family are grating cassava; they want to make cassava snacks with that.
Me leng kerun me suarkang kon metko.,There is a hole above the village.
Kiba esun mu bo saritkara suban.,Kiba's father and friends go fishing from the shoal.
Pawan wa me suensik.,This plank is light.
Nabil emun toni ma ladan wat suka.,Nabil's mother said she liked this shirt.
"Selagur Wadan sukaun ge: ""Ka borarei!""","Selagur Wadan doesn't want: ""You go first!"""
Pawan wa me sumsik.,This plank is light.
Arlan taraun kiem sun deba.,Arlan's grandmother is tying the rope of basket.
Esnem desa bo sunak potmare di korunggoa kiskin.,The village head goes cutting sunak; he wants to wrap his foot.
Jafaris ma sungsungun kies kasuori jie.,Jafaris bought four pairs of trousers.
Faris mu suoktal karop teba.,Faris and friends are shooting suoktal.
An melalu dodon waruo suolan ning.,I sit washing clothes; my back hurts.
Ma suolkanguna ning.,His backbone hurts.
Suolkasir ana ning.,My spine hurts.
Jikri ma kerar komainda suolkerunara kosara.,Jikri stabbed a turtle and hit its back.
Suopkaling kona yarner imetko.,There is an eel inside that stone.
Ur se boren me pi boet susia.,"The wind blows hard, it's difficult to go."
Ayah Tok amdirat komarukta din susurte talat na.,Ayah Tok burned his garden and the fire burnt his fence.
Madi mu he bot?,Did Madi and family leave yet?
Tomanjara wa?,Is this your bag?
In Timi Nepnewi kaluarta me ur mendak.,"We exited from Temi Nepnep, the wind was like that."
Binkur esun mu taba potmare minggi bak paruotkin.,Binkur's father and friends are cutting iron; they want to make a container with that.
Tabai leng wa me saerak.,There is no tobacco in this village.
Ror ma me tabak puraman?,How many pieces of wood are that?
Supri emun ma jambatarga warta ma tabalamara koni ramie.,Supri's mother fished from the dock and caught one midnight snapper.
Bak inggon me per se tabaon.,In our container the water is already halfway.
Onin esun mubon Suci esunbon nautabarak.,Onin's father and Suci's father crashed into each other.
Bakri esun tabaruop napasang deba hukatko.,Bakri's father is putting sinkers on the fishing net.
Irul emun mu taberak wele paruo reba.,Irul's mother and family are cooking jackfruit leaf.
Aina emun mu bo tabul potma.,Aina's mother and family are going to cut tabul bamboo.
Madi emun mu bo tabuon kajie reba.,Madi's mother and family go picking small clams.
Talok mulun me tabuonsal mambon.,At the edge of Talol there are nerite shells.
Ror wa me tabusik.,This piece of wood is short.
Alun taraun esnem me ma tadon.,Alun's grandfather is coughing.
Irul mu bo kahamin sairta mu taerat koni kona.,Irul and friends went to shoot birds and they hit a tree kangaroo.
Pasierat mat kosarandaero bes.,Even if the sea water touches it it's okay.
"Didirasunat paruo koi sanong, sanong tok kokour koi bo sanongat reptaet.","Making the kitchen, then the roof, there's not enough leaves, we go fetch more roof-leaves."
Supri me mambara se bo tagarar.,Supri stands with her legs very wide.
Sayang goni kon wa me tagier.,This one bag of nutmegs is heavy.
Hasrun ma tagirat eriri ramie.,Hasrun caught two mackerels.
Tagur bora pi se sorat natnin.,The east wind is blowing; we won't be eating any fish.
Mena mosun taguret eba tagurewun luet.,When it's east wind season the torresian imperial pidgeon comes.
Mena tagurpak eba sontum kibiat paruoret.,When it's east wind season people will prepare sea cucumber.
Lepir taikibiskadoa pakure!,Nail the rafters on the inland side!
Nabil emun mu he bore jam taikon.,Nabil's mother and family left maybe half an hour ago.
Andain ladanan met ma.,It was me who gave that shirt of mine to her.
Pawan wa me tebonggan tak puraman?,"These planks, how many are they in total?"
Randa emun ma takurera parua minggi sor kuarkin.,Randa's mother is picking sour bilimbi; she wants to cook that with fish.
Mustafa esun ma tal kanie reba.,Mustafa's father is tying a fence.
Dalima mu talep yumetko.,Dalima and family are outside there.
putkansuor talinggon,fourty-one
Irjan esun sor kawaramat etkoni komainda ma taluk.,Irjan's father caught one triggerfish but it escaped.
Kon tamara ka jierun?,Which one did you get?
Lolok saeraet pi tamandia paruoret? Tamandi (nauwar bes)?,How are you (do you have good news)?
"Ki tamanggara yecie? Ge o, owangga.","Where are you coming back from? Oh, just from over there."
Mustafa esun tamatil parua reidak.,Mustafa's father plucked a lot of tomatoes.
Rajiba emun pasat di tamatko?,Where did Rajiba's mother put the rice?
Mu tamawis teba? Ge o mu owanggara bot.,"Where are they going? Oh, just over there."
Yahyah emun ma tanun ning.,Yahyah's mother has pain in her arm.
Tomi emun toni ma me tankasirun ning.,Tomi's mother said her wrist hurts.
Bakri esun yaralus kajie tan lausun neing.,Bakri's father collected small stones; his handpalm hurts.
Rustam taraun ma me tanbes.,Rustam's grandmother is righthanded.
Tanggal bara Sakina mu kokok tumununat koni kuet.,A bird of prey came down and stole one of Sakina's family's chicks.
Muklis esun et fiberun me tanggal.,Muklis' father's fibre boat brings good luck.
Desi tok tanggalip potmatnin.,Desi didn't cut her fingernails yet.
Tanggarara me Rajia emunkin.,That ring is Rajia's mother's.
Nona Marni nebara ka tanggo?,Nona Marni what are you carring?
War kasaret me tanggon mara palolanara na.,During the morning tide the boxfish comes landwards to eat algae.
Tanggor owa me se reida korek.,Many of the mangrove trees over there are dead.
Tanggulca neba kosara?,What did you hit your elbow on?
Namana se anggas tanggorman?,Who opened the door?
Sayang tangun me parinun rasa.,The nutmegs have a good price.
Bayu esun ma toni tanparoemunun patin.,Bayu's father said his thumb is wounded.
Binkur esun ma tan paroun patin.,Binkur's father's finger is wounded.
Ema tanggararat koni tanparok pendenggo napasanget.,Mother puts a ring on her ring finger.
Gani ma tanparok me raorkadok yar kosara.,Gani hit his middle finger on a rock.
Saleha me tan sahadarun rua.,Saleha has a swollen index finger.
Rustam me ma tan tayon.,Rustam is lefthanded.
Ona emun taokang komaruk teba.,Ona's mother is burning coconut shells.
Binkur esun ma Salima taraunkonggo taot paning.,Binkur's father asked Salima's grandfather for a chisel.
Suryan emun ma kanggirun popta ma bara taouk.,Suryan's mother was tired and she lay down.
Wise me Tarar me tapar reidak.,There used to be many kangaroos at Tarar.
Mustafa emun mu tapongat sak koni jie.,Mustafa's mother and family bought a bag of wheat flour.
Kiba esun nika tar teba.,Kiba's father is coiling rope.
Pawanat iskaptar!,Plane the planks!
Faldia anggasat tara.,Faldi closed the door.
"Moktar esun ma Dian taraunat gerketː ""Tara tamatko?""","Moktar's father asked Dian's grandfather: ""Where is your grandchild?"""
Tumtum nawarabirta Unyil tumunun tarakmang.,The kids are making noise; Unyil's child is startled.
Tarakues me Yahya mu amdirun me mambon.,There is tarakues string in Yahya's family's garden.
Karekca me taraman puraman?,"That string, how many fathom is it?"
Warkin se laurten me ma tarangini bot.,The tide is rising; the south wind blows.
Dian taraun bo warta ba kalingun se taraouk.,Dian's grandmother went fishing but her hook snapped.
Paden jambantarkin yawe me tarapa reidak.,At the dock poles there are many tarapa shells.
Unyil emun korun tararapangun neing.,Unyil's mother's heels hurt.
Onin emuna se mubon taruo.,Onin's mother already told them.
Tata kaina me.,That's your grandfather.
Perusahan eba tatkolak mambon.,First at the mainland there are Bomberai inlanders.
Tatanina kain me nebara paruo?,What is your grandmother doing?
An tok tataninanus anggonat konatnin.,I've never seen my greatgrandmother.
Tatanus muin se somin.,Their greatgrandfather is dead.
Tatapang euna kona owa.,A tatapang bird's is over there.
Mu taukona owangga bot.,Some went over there.
Nyong ma semenat sak koni bitkora se bo taungtaung.,Nyong is carrying a bag of cement (so heavy that) he is bent.
Wat taurkona owane.,A heap of coconuts over there.
Ainu mu wat tawara reba.,Ainu and family are chopping coconuts.
Tamandi emun dodon tawie reba.,Tamandi's mother is taking the clothes from where she was drying them.
Kortasara mu tawotman minggi pasa kis.,They fold paper; they want to wrap rice with it.
Mang me he tayuon.,That language isn't good anymore.
Unyil emun korun patin ba koi te.,Unyil's mother has a wound on her foot and then there was pus.
Ma jiere kilo konde ripi puraman?,He bought for how many thousand rupiah per kilo?
Mu he mat tangkapte kuru mia.,They are catching him and bringing him.
Ka me orkore!,"""You go in the stern!"""
Ka nenggap teba?,What are you doing?
Bakri ma tebol mulunggara sor karop.,Bakri is shooting fish at the reef edge.
Tomi emun ma bo Mas wilaunggoa tebolsuban.,Tomi's mother went fishing at the reef edge at Mas.
Nabil esun ma warat tebonggani di Maryam emunggi.,Nabil's father gave all coconuts to Maryam's mother.
"Mu tok yarat teiret, kewewaruotkin.",They are making a foundation; they want to make a house.
Ayah Tok yatal teir teba.,Ayah Tok is making a stone wall.
Pas osat teitei in koi osat di timbangunggo.,The woman steps on the sand and then we put sand on her forehead.
Maryam emun Walakangga bara ma tektek koni an.,Maryam's mother came back from Gorom and gave me a knife.
Tel epka wa me pi kurang koluk.,Lately we don't find tell shells so much.
Rajiba emun ma kanaia potma ba kanai telebor.,Rajiba's mother was cutting pili nuts but they rolled away.
Manado telelengguesat koni ramie.,Manadu caught a wrasse.
Kokok ma me an mat komain ba ma telin.,"That chicken, I threw something at it but it stayed."
Suo me teltel mambon.,At Suo there are teltel roots.
Tonggarai Karimun me teltel reidak.,At Cape Tonggarai there are many vase shells.
Afokat yume ur koura ma teltel.,"That avocado, when the wind blows it moves."
Rum temtemun.,A big tefar fish.
Ma rortem siunggo mambaran.,He stands on the fallen stem of the tree.
Sakina ladanun ma me se bo temun.,Sakina's shirt is very big.
Tumun temun kon cicaun kon. Temun toni kasuret me...,There's one big child and one small child. The big one says tomorrow...
Kiba esun et rorun se ten.,The wood of Kiba's father's canoe has gone bad.
Muap koturtenara ka nanan.,You ate dirty food.
Sontum sorat sanggaratninden pitisun saerak.,People don't go fishing (so) there is no money.
Mayor et tenaun tabili he nan.,The snails ate the keel of Mayor's canoe.
Kukis me se tenenun.,These cookies are old.
Rustam taraun walorteng so reba.,Rustam's grandmother is peeling midribs.
Tenggeleles kona ror karo melalu owa.,A brahmini kits sits on a branch over there.
Sontum mahap owatko tengguen.,All people are gathered over there.
Bal kokoat nara tengun owatko.,A dog ate a chicken; its feathers are over there.
Mosun teok.,The foggy season.
Afokat wa me se tep.,This avocado already fruits.
Tumun im tewiri na.,The child eats two bananas.
Tepner me paransik.,The deep water is close.
Fit ma Sakina mukongga ter jie.,Fit bought tea from Sakina's.
Gustami sabet terun kolkiemunggo.,Gustami has a boil scar on his thigh.
Terar me opina he kararak.,The coral stones have been uncovered for a while.
Usman mu yonsonggi tiri mara terarkeitka sara.,Usman and family are sailing the motorboat towards land over the coral.
Mu Taruska terusi bot.,They go on to Tarus.
Ladan me teya ladanun.,That shirt is a man's shirt.
Onin emun mu Distrika bora tik.,Onin's mother and family went long to the mainland.
La Deka wat sara bo wat timgo.,La Deka is climbing a coconut and goes to the edge of the tree.
Dian emun timbangun duk.,Dian's mother hit her forehead.
Gowien leng osa me tok go tingun.,At Gowien up there there is still jungle.
Tumtum tiri namasawuot.,The kids have running competition.
Dela esun tiri jie Pakpaka.,Dela's father bought a drum in Fakfak.
Titibua Karimun me Ayah Tok amdirun metko.,"As for Cape Titibua, Ayah Tok has his garden there."
Bilal esun tok luknin.,Bilal's father hasn't come yet.
Batangun tok kalawenden.,Its branch that is still soft.
An nika anggonat an tok naluaret.,I slacken my fishing line first.
Tokǃ Kamun tok wangga meinǃ,Not yet! Don't you com here yet!
Lek ma me tok bes.,That goat is still alive.
"Tok tok, pi tok masaruret.","Not yet, we're still ripping."
Tokatokan Mas me mambon.,At Mas there are cornetfish.
Tokitoki kona goparar mulko garera owa.,A gecko is crawling on the wall over there.
Tokta me mena pi boet.,We'll leave in a moment.
An kelaka bora ba toktok.,I went up the mountain but I got lost.
Ema anggon toktok.,My mother is still alive.
Kahamin tol kona owatko.,There is a kingfish overthere.
Jafarisbon Burhanbon mu tolas.,Jafaris and Burhan are breaking their fast.
Nabil esun nikaunat somkon tolman.,Someone cut Nabil's father's fishing net.
Nina Ruslan taraun toman paruo reba.,Grandmother Ruslan's grandmother is making a bag.
Tompat per wa me tebonggan se mikoni koyet.,All the water containers are full.
Abdulah esun mu Tonggaraio.,Abdulah's father and family are at Tonggarai.
Manado toni ma bo warkin ba ur.,Manado says he wants to go fishing but it's windy.
Ma worma ma toni nasambungi mara ba balunat rewet.,"He cut, he wanted to connect (the tree, towards land) so that he (could) get his dog."
Malik ma bo top nagoyang deba.,Malik goes fishing for fusiliers.
Wowa Kambur emun ma torim parin deba.,Aunt Kambur's mother is selling eggplant.
Madi korun sadawak kosara ma bo kororo.,A machete hit Madi's leg and it split open.
"Wise me sontum tok torpesat jien, epka wa me se jietnin.","People used to buy top shells, but lately they don't buy anymore."
Los mul me tot reidak.,At the edge of the dock there are many sea urchins.
Rajia emun me ma tok toari.,Rajia's (adoptive) mother isn't married yet.
Sakina emun mat tu.,Sakina's mother hits her.
Nina buoat tu reba.,Grandmother is pounding betel.
Wise me Gani mu me Kamburko tua.,"Before, Gani's family lived at Kambur."
Tuangga etkon Saulat komain.,A spine fish stabbed Saula.
Gustami ma esunat poska tubak.,Gustami pricked his father from a hole.
Mu Tuburasapka marua duran parin.,They from Tuburuasa went seawards to sell durian.
Distrik me tumin mambon wa me saerak.,"At the mainland there are watermelons, here there aren't."
Wise eba tumteng mambon epka wa me tumteng saerak.,There used to be bedbugs; lately there are no bedbugs.
Tumun anggon tok sekolao.,My child is still at school.
Dian esun kewe temunara paruo.,Dian's father is making his small house.
Halim me tumunun pas.,Halim has a daughter.
An sayangat goni nerunggo tun.,I shake the nutmegs in the sack.
Mu osat goni nerunggo tun.,They shake the sand in the sack.
Om Nos tunggarekia tal kanie.,Uncle Nos ties a fence with tunggarek.
In kewe tungginun rur.,Our ridge pole is pierced.
Malik didiras tunggin di sara reba.,Malik is putting up the ridge pole of the kitchen.
Muklis ma tirira ma tur.,Muklis ran and fell.
Kindius me turung.,Kindius is a hill.
Mama anggon kieun me an gonggunet me u.,"My uncle's wife, I call her 'u'."
Bakri emun sanggeran paruotkin ba uda saerak.,Bakri's mother wants to make sago but there is no sieve.
Esa kain dununet me ka gonggunget me ulan.,Your father's sister you call her 'ulan'.
Bayu esun uliun parair.,Bayu's father's rudder split.
Bilal esun bo hukat paruakta ma ultomara kolukte reidak.,Bilal's father went fishing with net; he got a lot of goatfish.
Rehan pasierko ulur.,Rehan pees in the sea.
Ma unbalaok.,She showed herself.
Ma rumun etamani ramie.,She caught a few rum fish.
Lamani emun mu me unanaun kon.,Lamani's mother and family have one earthenware vase.
Tagur Uninsineinggara marua.,The east wind comes from Buruwai Bay.
Randa mu wiesara mu unkoriap.,Randa and friends harvested manggoes and divided between them.
Ema he unmasiri koyet.,Mother has given birth.
Bobi emun bo unsor yal teba.,Bobi's mother goes fishing for orange-spotted trevally.
Dian emun mu Pakpaka bora pasier up.,Dian's mother and family went to Fakfak; the sea was calm.
Irjan esun mu bo up sanggara ba koluknin.,Irjan's mother an family went searching for up palm but they didn't find any.
Tagur se boren me barang ulun se sa.,The east wind blows; the turmeric leaves are already dry.
Ur opa saun me bot.,Last night the wind blew.
Ur kirun kuskapten ma sara.,A black cloud rises up.
In botkin ba ur temun.,We wanted to go but the sea was rough.
Urap sikolangga barara me palawak.,The street down from the school is slippery.
In Kamburga bora me ururen.,We went to Kambur; the sea was wild.
Onin emun mu urukmangde tanjungga bot.,Onin's mother suddenly went to the cape.
Yusra me kadok dormare usun laoklaok.,Yusra opened his sarong and his penis appeared.
Malik ma didirasunara usar.,Malik is building his kitchen.
Jikri mu Kambur usiepkoa war.,Jikri and friends fish at the shoal.
Dalima mu loska wienmukta uspulpulara ramie.,Dalima and friends fished from the dock and caught a picasso triggerfish.
Dian taraun ma poun arunara ut.,Dian's grandfather marks the breadfruit tree.
Salima emun ma utkonia kukisunat paruo.,Salima's mother is making her cake apart.
Kalamang emun me sontum Utun.,Kalamang's mother is a Butonese.
Sakina mu keweun me wakpol mambon.,There is a brown lizard at Sakina and family's house.
Supri esun ma Walakanggara bara.,Supri's father came from Gorom.
Go leng wilaun wa me walalom kuat.,At the sea in front of this village the current is strong.
Tumtum wie walawala.,The kids throw at the mango tree.
La Deka walor sara minggi bo warkin.,La Deka is harvesting coconut leaf; he wants to fish with that.
Nabil taraun ma walorteng so reba.,Nabil's grandmother is preparing coocnut leaf midribs.
Ka he wan puramani luk?,How many times have you come?
Mena ka wandia paruo.,Then you do like this.
"Wane kain, ge?","This is yours, no?"
Desi me wanggonia waruo.,Desi bathed once.
Riski emun me wanggonggon eba luk.,Riski's mother comes seldom.
Wanim me ureren.,At Wanim the sea is wild.
Faldi se waniri muap.,Faldi has eaten twice.
Rajiba esun bo war.,Rajiba's father went fishing.
Ma anat war.,He uses sorcery on me.
Warpas mat melebori pasierko rupaun mainat jie.,A sorceress pushed him in the water and took his face.
Muklis esun wuar pasierkip etkoni ramie.,Muklis' father caught a whale shark.
Jana ma waringat koni koluk.,Jana found a file clam.
Mama Gorom toni ma melalu ba kadenun warkangkang.,Mama Gorom said se sat and then got goosebumps.
Warkasom kon los elaunggo.,There is a crown-of-thorns starfish under the dock.
Warkin se bo garos gosomin.,"The tide became very low, disappearing."
Warkin kararakta Madi emun bo tabuon kajie.,When it's low tide Madi's mother goes picking clams.
Warkin se laur et se pouk.,It's high tide; the canoes float.
Gosaunet me warkin nasesak.,When it's evening the tide is high.
Go se yuoletkap me warkin se tararup.,When it's about midday the tide falls.
Bestalan koturta an samponggi waruo.,My hair is dirty; I wash it with shampoo.
Fatimah mu bo wasorak ruo reba.,Fatimah and family go digging for ark clams.
Kiba esun ma wat sara ba karoraun.,Kiba's father harvested coconuts but they weren't ripe yet.
Aina emun ma wat kaware minggi mingkuarkin.,Aina's mother scrapes coconut; she wants to cook oil with that.
Gani mu bo wat sarenden sara.,Gani and friends go harvesting old coconuts.
Alun esun wat sasul sara minggi wat bubir paruotkin.,Alun's father picked a green coconut; he wants to make coconut porridge with that.
Gowien eba watwat reidak.,There are many watwat trees at Gowien.
Nyong esunan weinun ma bot.,Nyong's father went too.
Kambur me wel reidak.,At Kambur there are many top shells.
Dela mu bo kanggin wele parua reba.,Dela and family go to pick kanggin vegetables.
Rustam ladan golun me welenggap.,Rustam's football shirt is blue.
Wenawena eun kon owatko ba se ten.,There is a beehive there but it's broken.
Mei pokpoun se wenggam.,Mei's small motor is rusty.
Binkur esun ma kairepkin ba wewar saerak.,Binkur's father wants to get firewood but there is no axe.
Wie se mulai sawaun.,The mango already starts to be old.
Binkur esun bo warkin ba wienun saerak.,"Binkur's father wants to go fishing, but he has no fishing line."
Wienar epkona tiri bora owa.,A parrotfish swims over there.
Madi emun ma bo winyal.,Madi's mother goes fishing.
Gustami kanggirun osnekora mu wirmare kou.,Gustami had sand in his eye; they opened it and blowed.
Wis mu Tuburusapka lukte duranparin.,Yesterday they came selling durian from Tuburuasa.
Wiseme torpes parinun tok bes.,The top shell price used to be good.
"Wororoi me Gowien eba mambon, leng wa me saerak.","First at Gowien there are parrots, in this area there aren't."
An wowa caun mukonggara yecie.,I came back from their aunt.
War sisiarun kon keweneko.,There is a grasshopper in the house.
Supria wuongda yume.,Supria is whistling there.
Malia buokwuorma me.,Malik cut the betel palm.
Opa saun me an minda wourwourte sontum luk.,Last night I slept and dreamed that a person came.
Pak guru Banda yakopsanggara.,Teacher Banda is looking for a cockatoo.
Yakop leirun me Gowien me reidak.,At Gowien there are many palm cockatoos.
Yakop posun kon Kamberarko.,There is a cockatoo hole at Kamberar.
Namana mua yamda yueme.,Who is making love there?
Naman mua pasa jata met yap?,Who divided that government rice?
Ruslan emun ma yap kawaya reba.,Ruslan's mother is planting black potato.
Yar wa me inun Yar Dakdak.,This stone is called Yar Dakdak.
Om Nostal kewe mulun me yar kangkang.,Uncle Nostal has sharp stones next to his house.
Nyong emun mu yaralus kajiere minggi kewunara corkin.,Nyong's mother and family are picking small stones; they want to cast the walls of their house with that.
Langgor me yarkanyuot reidak.,At Langgor there are many bivalves.
Perki yarmunmun reidak.,At the waterfall there are many boulders.
Kamberar me goun yarnener.,Kamberar is a place with coral stones.
Sowir me yartep metko mambon.,At Sowir there are sardines.
Bakri emun ma yawirsair teba.,Bakri's mother is baking lime.
Bakri esun mua warte yecie.,Bakri's father and friends come back from fishing.
Yes kaiara in kuar.,We are cooking yes medicine.
Suster mu yes kaiara yap.,The nurse and her colleagues are dividing parasite medicine.
Yeso neba mindi an komahal.,"I don't know, what's that, I don't know."
Ma taruo wilak yuatko.,She says in the sea over there.
Don kona yumene ma tama?,"That one thing, where is it?"
Yuol puramana ki boet?,What day are you going?
Muklis esun mu yol tamaba mu Pakpaka bot?,"Muklis' father and family, when are they going to Fakfak?"
Neba kona yuolyuolta owa?,What is that shimmering over there?
Yuon opa yuane nabestai lalangnin.,The sun wasn't very hot today.
Usman ma et lamut yuon deba.,Usman is rubbing the algae off his boat.
Unyil esun mu bo kolaka yecie me yuon se daruk.,Unyil's father and family came back from the mountain when the sun had already set.
Wa me he yuon monpak.,This is the dry season.
Moktar mu botkin ba yuon se nawariri.,Moktar and friends want to go but i's already midday.
In minda me se yuon se sara.,We slept until the sun had already risen.
Rajiba emun ma bunga yuopyuowat urapko kawaya.,Rajiba's mother planted hibiscus at the roadside.
Eba sikola me yuor bo sausaun.,At the school the grass covered everything.
Bakribon Jikribon mier naras ba Bakri me yuor Jikri me sala.,Bakri and Jikri fought; Bakri was right and Jikri wrong.
"Yor, pi bara jieni koyet.","Right, we had already returned."
Urap wane yorsik weinun.,This road is very straight.
Fitri ka namanara sanggara? An Alifara sanggara. Ma yuane.,"Fitri, who are you looking for? I'm looking for Alif. Here he is."
